plant,date,work_center,,machine,order,grade,emp,shift,qty,scrap,setup_plan,machine_plan,machine_actual,labor_plan
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51876,115271704,KC730,21276,2,300,,0.50,4.98,0.43,0.43
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51876,115271705,KC730,21191,2,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51876,115271705,KC730,21191,3,57,,0.50,0.95,1.52,0.30
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115240620,KC5025,21191,2,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115240620,KC5025,21191,3,78,1,0.66,1.31,1.95,0.38
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115283776,KC5010,20739,2,240,,0.66,3.98,4.65,1.40
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115283776,KC5010,21191,2,194,3,0.66,3.27,5.12,1.08
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115283776,KC5010,21276,2,117,,0.66,1.94,0.03,0.03
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115283779,K10U,21276,3,203,2,0.66,3.40,6.05,5.72
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115220896,K313,21191,2,125,,0.50,3.63,3.33,0.73
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115231094,SP3941,21276,3,242,1,1.00,4.98,0.30,0.30
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115266915,K313,21191,1,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115266915,K313,21191,2,150,,1.00,3.08,3.17,0.63
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115266915,K313,21191,3,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115271183,K313,20739,2,97,1,0.50,2.84,1.72,0.42
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115271183,K313,21191,2,45,,0.50,1.31,0.58,0.12
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115275111,KC5010,20739,1,12,2,1.00,0.29,0.02,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115275111,KC5010,21276,1,,3,1.00,0.06,0.23,0.23
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115244658,KC725M,20739,2,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115244658,KC725M,20739,3,140,,0.75,2.80,6.75,2.28
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115244658,KC725M,21191,2,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115244658,KC725M,21191,3,174,,0.75,3.48,7.08,1.48
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115244658,KC725M,21276,2,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115244658,KC725M,21276,3,127,1,0.75,2.56,0.03,0.03
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115268110,KCU10,21250,1,30,5,0.66,0.58,1.65,1.65
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115268110,KCU10,21250,2,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115268110,KCU10,21250,3,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115268110,KCU10,63074,1,398,,0.66,6.61,5.53,5.20
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115268110,KCU10,63074,2,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115268110,KCU10,63074,3,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115280116,KCU25,21250,1,69,,0.66,1.46,1.38,1.38
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115280116,KCU25,21304,1,201,,0.66,4.24,3.53,3.53
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,63074,1,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,63074,2,60,3,1.00,1.29,0.05,0.05
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,63074,3,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115098677,KC5010,63074,2,,,X,,,
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115098677,KC5010,63074,3,144,8,0.60,2.52,0.02,0.02
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115255438,KT315,21304,3,15,4,0.66,0.32,1.83,1.50
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115271189,WS10PT,63074,2,16,1,0.66,0.28,2.37,2.37
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115275072,KC5010,21250,1,131,22,0.66,2.54,5.03,4.70
OR01,09.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115275072,KC5010,21304,1,60,7,0.66,1.11,0.03,0.03
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,115166698,KC725M,21161,2,580,15,0.50,1.37,4.35,4.35
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,115300563,WK20CT,21161,1,940,10,0.50,1.90,,
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,115316816,KCU25,21161,3,150,8,0.50,0.36,0.02,0.02
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,115316817,KC5010,21161,2,700,21,0.50,1.66,0.35,0.35
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,115316912,KCU10,21161,1,290,18,0.50,1.79,0.82,0.82
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,115275575,KCM25,20648,1,340,17,0.42,0.68,1.50,0.72
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,115316971,WM25CT,63508,3,300,15,0.50,0.63,0.22,0.22
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,115317022,K20K,20648,2,285,13,0.50,0.63,1.15,0.38
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,115317023,KCPK05,20648,2,"1,030",34,0.50,2.02,4.03,1.48
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115308637,KCK20,63508,3,360,18,0.42,0.72,3.58,3.58
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115316818,KCM35,21044,1,530,5,0.50,1.23,1.53,0.98
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115316818,KCM35,63508,1,610,10,0.50,1.43,2.80,2.80
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115316819,KCM35,21044,1,600,8,0.50,1.40,1.72,1.00
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115316900,KU10T,21044,1,350,22,0.50,0.86,1.52,1.45
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115316944,KC725M,21044,2,720,16,0.50,2.06,,
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115316945,KC725M,21044,2,720,8,0.50,2.04,1.80,1.22
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115316946,KC725M,21269,1,640,20,0.50,1.85,4.60,4.60
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115316947,KC725M,21269,1,640,8,0.50,1.81,1.63,1.63
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115316948,KC725M,21269,2,640,8,0.50,1.81,0.07,0.07
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115316950,KC725M,21269,2,640,20,0.50,1.85,3.25,3.25
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115316951,KC725M,21269,2,160,2,0.50,0.45,0.22,0.22
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115316951,KC725M,63877,2,480,11,0.50,1.38,1.02,1.02
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115316952,KC725M,63877,3,640,20,0.50,1.85,0.42,0.42
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115316966,KC725M,63877,3,600,16,0.50,1.73,0.38,0.38
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115316974,KC5010,63877,3,"1,020",30,0.50,1.79,1.97,1.97
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,115316901,KCP25B,20648,1,740,18,0.50,1.74,2.85,1.83
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,115316902,KCP25B,20648,1,800,7,0.50,1.86,2.68,1.10
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,115316903,KCP25B,20648,2,"1,140",8,0.50,2.64,4.20,1.62
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,115316904,KCM25,63928,3,"1,140",18,0.50,2.66,3.43,3.43
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,115316943,WP25CT,63928,3,"1,020",17,0.50,2.39,0.95,0.95
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50593,115317029,WM25CT,63928,3,300,10,0.50,0.71,1.00,1.00
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,115255504,KCM15,21044,2,780,15,0.50,1.59,2.05,1.98
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,115313220,TN6540,21044,1,360,59,0.50,0.96,2.52,1.27
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,115313230,WP15CT,21044,2,416,3,0.50,0.84,1.15,0.57
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,115313230,WP15CT,63508,2,170,3,0.50,0.35,1.53,1.53
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,115313232,KCM15,21044,2,680,8,0.50,1.38,,
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,115313233,KCP10,63508,2,360,5,0.50,0.73,2.18,2.18
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,50696,115313305,KCP10B,63508,3,300,14,0.50,0.72,1.18,1.18
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,115274941,YYATGS,20648,1,497,4,0.50,0.85,,
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,115274941,YYATGS,63928,1,663,17,0.50,1.16,0.58,0.58
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,115275286,KCU10,20648,2,884,16,0.50,1.80,2.55,0.90
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,115283118,YYATGS,20648,1,"1,160",8,0.50,1.99,3.52,1.45
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,115308636,KCP10B,63928,3,300,10,0.50,0.62,1.42,1.42
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,115313224,KC5010,20648,2,670,5,0.50,1.15,1.73,1.32
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,115313224,KC5010,63928,2,285,2,0.50,0.49,1.45,1.45
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52411,115313225,KC5010,63928,3,955,9,0.50,1.64,2.92,2.92
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,115316239,K68,63877,3,20,14,0.50,0.10,1.43,1.43
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,115316811,K25P,21269,1,850,22,0.50,2.01,1.82,1.82
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,115316812,KCM35,21269,1,350,15,0.50,0.62,0.38,0.38
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,115316915,KCK05,63877,3,340,18,0.42,0.68,1.45,1.45
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,115316917,KCP25,63877,3,340,3,0.42,0.65,1.15,1.15
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,115316922,KCP25,63877,2,800,10,0.50,1.62,1.65,1.65
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,115316925,WM25CT,21269,2,240,16,0.50,0.51,0.05,0.05
OR01,09.02.2016,PRS3R,3R PRESS OSTERWALDER,52412,115316925,WM25CT,63877,2,304,3,0.50,0.61,1.42,1.42
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115278955,KD1410,20478,1,142,,1.00,2.90,1.75,1.75
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115278955,KD1410,20478,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115278955,KD1410,20478,3,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115278955,KD1410,21303,1,127,,1.00,2.59,0.02,0.02
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115278955,KD1410,21303,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115278955,KD1410,21303,3,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115278955,KD1410,21317,1,113,,1.00,2.31,0.05,0.05
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115278955,KD1410,21317,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115278955,KD1410,21317,3,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44338,115276030,KC5025,21303,1,210,1,1.00,3.50,0.05,0.05
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44338,115276030,KC5025,21303,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44338,115286651,KT315,20478,1,90,,1.00,2.39,0.53,0.53
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,44338,115286651,KT315,21317,1,105,2,1.00,2.85,1.00,1.00
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115251256,KC5010,20478,2,60,,1.00,1.00,0.02,0.02
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115251256,KC5010,21303,2,88,1,1.00,1.48,3.25,2.92
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115275261,KC5010,21303,3,230,,1.00,3.82,4.68,4.68
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115300458,KC5025,20478,1,,,1.00,,4.73,4.40
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115300458,KC5025,21317,1,130,1,1.00,2.18,0.03,0.03
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46753,115300459,CM1,21317,3,105,,1.00,1.74,6.88,6.55
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46754,115271651,KC410M,21299,2,,4,1.00,0.08,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46754,115283728,KC522M,20478,1,26,8,0.75,0.68,1.28,1.28
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46754,115283728,KC522M,21317,1,32,6,0.75,0.76,0.12,0.12
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115174806,K68,21294,3,144,,0.75,2.39,7.47,7.13
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115235804,KC5410,20925,1,120,,0.66,2.53,3.27,1.08
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115235804,KC5410,20925,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115235804,KC5410,21303,1,272,,0.66,5.74,0.07,0.07
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115235804,KC5410,21303,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115244646,KCU10,20925,1,147,,1.00,3.00,2.88,0.85
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,46755,115244646,KCU10,21294,1,14,,1.00,0.29,0.37,0.37
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,48182,115295390,KCU25,20925,1,213,8,0.66,4.66,6.68,2.28
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,48182,115295390,KCU25,21294,1,519,,0.66,10.95,0.28,0.28
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,48182,115295391,KCU10,21299,3,285,1,0.66,4.75,0.03,0.03
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,50249,115255804,CG5,21299,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,50249,115255804,CG5,21299,3,220,,1.00,3.65,1.85,1.85
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,50249,115276023,CG5,20925,1,192,2,1.00,3.22,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,50249,115276023,CG5,21294,1,297,,1.00,4.93,0.02,0.02
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51876,115271703,KC5410,20739,3,296,9,0.66,6.44,7.35,2.53
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51876,115271703,KC5410,21276,3,,22,0.66,0.46,6.60,6.27
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51876,115271703,KC5410,21299,3,300,,0.66,6.33,0.02,0.02
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51876,115271705,KC730,21276,3,266,1,0.50,4.43,0.20,0.20
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115163008,KCU10,21191,2,66,,0.66,0.99,2.22,0.62
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115240620,KC5025,21276,3,249,1,0.66,4.15,0.73,0.73
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115271191,K313,21191,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115271191,K313,21191,3,140,31,0.50,1.91,4.28,1.42
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115271702,KCU10,20739,2,142,1,1.00,2.92,3.50,1.07
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115271702,KCU10,21191,2,32,,1.00,0.65,0.88,0.28
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115275078,K68,20739,1,63,4,0.50,1.11,2.05,0.57
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115247943,KC730,21191,1,229,1,1.00,4.69,4.62,1.53
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115247943,KC730,21191,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115266915,K313,20739,2,52,3,1.00,1.13,1.13,0.28
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115266915,K313,21191,2,88,7,1.00,1.95,2.80,0.83
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115266915,K313,21276,2,63,22,1.00,1.74,0.07,0.07
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115244658,KC725M,21276,3,134,11,0.75,2.90,0.27,0.27
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115251677,KC725M,20739,1,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115251677,KC725M,20739,2,161,,0.75,3.22,7.35,2.53
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115251677,KC725M,20739,3,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115251677,KC725M,21191,1,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115251677,KC725M,21191,2,168,,0.75,3.36,7.40,2.35
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115251677,KC725M,21191,3,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115251677,KC725M,21276,1,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115251677,KC725M,21276,2,22,,0.75,0.44,0.03,0.03
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115251677,KC725M,21276,3,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115263203,K313,20953,2,26,,0.66,0.43,0.02,0.02
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115268110,KCU10,21250,1,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115268110,KCU10,21250,3,289,,0.66,4.80,0.18,0.18
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115268110,KCU10,21304,1,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,52850,115268110,KCU10,21304,3,240,,0.66,3.98,0.02,0.02
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,20925,1,125,,1.00,2.55,6.53,2.13
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,20925,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,20925,3,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,20970,1,129,,1.00,2.63,0.02,0.02
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,20970,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,20970,3,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,63074,1,133,,1.00,2.71,0.03,0.03
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,63074,2,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115255648,KC725M,63074,3,,,X,,,
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115098677,KC5010,21304,3,320,,0.60,5.31,0.02,0.02
OR01,10.02.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115098677,KC5010,63074,3,309,,0.60,5.13,7.90,7.57
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,115317001,KCM25,20650,1,822,17,0.42,1.60,3.28,3.28
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,115317001,KCM25,21161,1,318,5,0.42,0.61,1.67,1.67
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,115317002,KCP10B,21161,1,500,16,0.50,1.03,1.58,1.58
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,115317003,KC5010,21161,2,200,14,0.50,0.36,0.10,0.10
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,115317003,KC5010,63858,2,730,5,0.50,1.25,0.67,0.67
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,32108,115317006,KCP25,21161,2,850,16,0.42,1.65,1.92,1.92
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,115235809,WM25CT,21161,2,600,15,0.50,1.41,0.12,0.12
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,115316816,KCU25,20650,3,300,4,0.50,0.70,4.47,4.13
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,115316939,KCU25,20650,3,620,16,0.50,1.27,0.38,0.38
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,115316940,KCU25,21161,1,550,10,0.50,1.12,1.75,1.75
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,115320029,KT315,63858,2,50,16,0.50,0.27,0.05,0.05
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,43101,115320094,KCP25B,21161,2,30,11,0.50,0.08,3.40,3.40
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,115283742,KC5010,21269,2,320,5,0.50,0.91,0.02,0.02
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,47191,115316959,KC5010,21269,2,320,209,0.50,1.48,0.02,0.02
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115308111,KC725M,21044,1,125,10,0.50,0.32,1.58,1.23
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115320260,KC725M,21044,1,120,3,0.50,0.30,,
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115320843,KCU10,63508,3,308,24,0.50,0.76,1.62,1.62
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115320844,KU10,63508,3,308,15,0.50,0.74,1.52,1.52
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115320860,KCM25,21044,2,680,14,0.50,1.60,2.13,1.40
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115320862,KC5010,21044,1,210,3,0.50,0.49,0.70,0.70
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115320862,KC5010,63508,1,120,12,0.50,0.30,0.02,0.02
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115324873,KCU10,64891,3,350,,0.50,1.44,,
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115325008,KCU10,21044,2,450,18,0.50,1.08,1.33,0.85
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115325008,KCU10,64891,2,450,2,0.50,1.04,1.23,0.67
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50591,115325009,KCU10,64891,3,900,8,0.50,2.09,0.02,
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115255655,KC725M,63877,3,640,19,0.50,1.85,1.98,1.98
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115255656,KC725M,63877,3,640,6,0.50,1.81,2.10,2.10
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115255657,KC725M,21269,1,160,4,0.50,0.46,3.28,3.28
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115255657,KC725M,63877,1,480,5,0.50,1.36,1.53,1.53
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115296013,KC725M,21269,1,640,8,0.50,1.81,0.02,0.02
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115296014,KC725M,21269,1,640,8,0.50,1.81,1.50,1.50
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115296015,KC725M,21269,1,640,8,0.50,1.81,3.28,3.28
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115313319,KC725M,21269,2,640,8,0.50,1.81,,
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115313320,KC725M,21269,2,640,8,0.50,1.81,1.42,1.42
OR01,10.02.2016,PRS3R,3R PRESS OSTERWALDER,50592,115324901,KC725M,21269,2,200,3,0.50,0.57,,
