plant,date,work_center,,machine,order,grade,emp,shift,qty,scrap,setup_plan,machine_plan,machine_actual,labor_plan
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115195913,WM15CT,20648,1,"1,170",13,0.50,2.37,3.27,1.63
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115187525,KT315,20648,1,815,7,0.50,1.89,2.87,1.52
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115187525,KT315,63877,1,325,9,0.50,0.77,0.13,0.13
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115187526,KT315,20648,1,"1,140",10,0.50,2.65,4.42,3.00
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115190475,KC730,63877,3,50,8,0.50,0.13,2.43,2.43
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115195983,KCP25,20648,2,"1,140",17,0.42,2.20,3.27,1.63
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115195984,KCP25,63877,3,"1,140",11,0.42,2.19,0.87,0.87
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115186761,KCK20,21269,1,"1,050",10,0.42,2.01,2.92,2.92
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187470,K10U,21269,1,"1,050",44,0.50,2.19,2.58,2.58
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187471,KCM25B,63877,3,"1,140",11,0.42,2.19,1.52,1.52
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187473,KCK20,63877,3,"1,140",19,0.42,2.20,1.02,1.02
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115195903,KC5010,21269,2,,30,0.50,0.06,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115195904,KC5010,21269,2,316,3,0.50,0.64,0.32,0.32
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115195904,KC5010,63877,2,844,9,0.50,1.71,1.70,1.70
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115186298,KTP10,21161,1,924,41,0.50,1.93,0.60,0.60
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115186768,KCU10,21161,2,680,18,0.50,1.40,1.75,1.75
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115186769,KTP10,21161,1,416,6,0.50,0.84,2.00,2.00
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115195916,KC850,21227,2,740,23,0.50,2.21,1.93,1.93
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115187337,KCU25,21161,2,150,80,0.50,0.53,0.02,0.02
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115187485,KCU25,21161,1,785,14,0.50,1.84,1.28,1.28
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,115187486,KC5010,21161,1,340,22,0.50,0.83,2.18,2.18
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115195862,KC5010,63928,3,860,19,0.50,2.02,3.48,3.48
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115195865,WM25CT,21044,1,190,3,0.50,0.44,1.27,1.27
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115195865,WM25CT,63928,1,90,13,0.50,0.24,2.65,2.65
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115195866,WP25CT,21044,1,680,14,0.50,1.60,3.92,3.02
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115199604,WK20CT,21044,2,200,11,0.50,0.49,0.62,0.30
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115199604,WK20CT,63928,2,80,1,0.50,0.19,1.65,1.65
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115199605,WP15CT,21044,2,280,12,0.50,0.67,1.35,0.80
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,115199606,WP25CT,21044,2,280,20,0.50,0.69,1.80,1.35
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115195933,KC725M,63508,3,800,15,0.50,2.28,7.22,7.22
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115195934,KC725M,63508,3,800,8,0.50,2.26,1.85,1.85
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115195992,TN20P,21044,2,,,0.50,,0.50,0.50
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115195993,K10P,21044,2,280,12,0.50,0.67,1.82,1.27
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115195994,K20K,21044,2,280,10,0.50,0.67,0.87,0.42
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115195995,KCM15,21044,1,280,12,0.50,0.58,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,115195996,KCU25,21044,1,650,16,0.50,1.33,1.80,0.90
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115190875,KCP10,63877,3,"1,020",10,0.42,1.96,2.37,2.37
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115190876,KCP10,21269,1,150,1,0.42,0.29,1.17,1.17
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115190876,KCP10,63877,1,870,8,0.42,1.67,0.02,0.02
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115190877,KCM35,21269,1,810,16,0.42,1.57,3.33,3.33
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115190912,WP25CT,21269,1,600,15,0.50,1.23,1.12,1.12
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115195985,KCP25B,63877,3,340,4,0.50,0.59,0.93,0.93
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,115196034,KCP10B,63877,2,220,3,0.50,0.38,1.97,1.97
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115131137,TN30M,63928,3,300,12,0.50,0.72,5.77,5.77
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115187476,KCP10B,63928,2,572,16,0.50,1.18,2.12,2.12
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115187509,WP15CT,20648,2,"1,140",14,0.50,2.31,4.50,2.43
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115196019,KCP10,20648,1,"1,140",18,0.50,2.20,4.88,3.15
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,115196020,KCP25,63928,3,"1,140",21,0.50,2.21,0.10,0.10
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50696,115195993,K10P,21044,1,,,,,0.03,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50696,115195993,K10P,21044,2,50,,0.50,0.12,0.02,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115195980,KC5010,20648,1,"1,160",18,0.50,2.00,4.75,2.72
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115195981,KC5010,20648,2,"1,160",7,0.50,1.98,3.13,1.57
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115195982,KC5025,20648,1,470,13,0.42,1.59,1.42,1.22
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,115195986,KCK20B,63877,3,300,29,0.50,0.66,2.07,2.07
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115186758,KCP25B,21269,1,360,5,0.50,0.73,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115186758,KCP25B,63877,1,100,15,0.50,0.23,0.50,0.50
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187464,KCP25B,21269,1,"1,150",10,0.50,2.32,2.45,2.45
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187465,KCK15,21269,2,900,35,0.42,1.78,0.07,0.07
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187466,KCP10,63877,2,900,23,0.42,1.75,1.53,1.53
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115187474,KCP05,63877,3,340,14,0.42,0.67,0.25,0.25
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115195905,KT315,63877,3,"1,170",16,0.42,3.91,0.70,0.70
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,115196034,KCP10B,21269,2,380,15,0.50,0.67,3.77,3.77
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,44337,115009587,KC522M,21317,3,30,,0.75,0.60,6.18,6.18
