Plant,Posting Date,Work Center,,Machine Number,Grade,Material,,MFG Part Number,Order,Employee Number,Shifts,Order Count,"Operation 
Count","Confirmed
Qty","Scrap
Actual","Setup 
Plan","Machining
Plan","Machining
Actual","Labor 
Plan","Labor
Actual","Activity 4
Actual","Activity 4
Plan","Activity 5
Actual","Activity 5
Plan","Activity 6
Actual","Activity 6
Plan"
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC520M,3753593,MILL 1-10 INSERT R=0.8,#,115195942,63928,2,1,1,640,23,0.5,1.86,4.2,,4.2,,,,,,
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCU10,3769370,SCREW ON FP LIGHT FINISHING INSERT,#,115101919,63877,3,1,1,740,32,0.5,1.54,0.9,,0.9,,,,,,
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC5010,1832295,INS. KENLOC MP MEDIUM POSITIVE,#,115187422,63877,3,1,1,"1,020",10,0.5,4.02,0.48,,0.48,,,,,,
OR01,01.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCM25,3760294,SCREW ON LF LIGHT FINISHING INSERT,#,115187472,63877,2,1,1,"1,140",12,0.42,2.19,3.53,,3.53,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KC730,1161927,SCREW ON LF LIGHT FINISHING INSERT,#,115190870,21161,1,1,1,476,7,0.5,1.4,0.83,,0.83,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KC730,1161927,SCREW ON LF LIGHT FINISHING INSERT,#,115190870,21227,1,1,1,264,16,0.5,0.81,0.2,,0.2,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KT315,1869974,SCREW ON LF LIGHT FINISHING INSERT,#,115190871,21161,2,1,1,"1,170",26,0.5,2.03,1.95,,1.95,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KTP10,3769065,SCREW ON FP LIGHT FINISHING INSERT,#,115186769,21161,1,1,1,264,11,0.5,0.55,0.1,,0.1,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KTP10,3769065,SCREW ON FP LIGHT FINISHING INSERT,#,115186769,21161,2,1,1,,,X,,,,,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,TN10U,4166634,POSITIVE INSERT,#,115186763,21227,3,1,1,"1,132",26,0.42,2.66,1.8,,1.8,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP10,3749342,KENLOC CT PROFILING GEOMETRY,#,115195927,21227,3,1,1,850,19,0.5,2,1.42,,1.42,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP10,3749476,KENLOC MN MEDIUM NEGATIVE INSERT,#,115195921,21161,1,1,1,340,13,0.5,0.67,0.32,,0.32,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP10B,5535041,KENLOC CT PROFILING GEOMETRY,#,115195928,21161,1,1,1,260,5,0.5,0.61,0.17,,0.17,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP10B,5535041,KENLOC CT PROFILING GEOMETRY,#,115195928,21227,1,1,1,200,4,0.5,0.47,0.08,,0.08,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25,3753447,KENLOC MN MEDIUM NEGATIVE INSERT,#,115195922,21161,1,1,1,455,14,0.5,0.89,0.22,,0.22,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25B,5694120,KENLOC MN MEDIUM NEGATIVE INSERT,#,115195923,21161,2,1,1,565,8,0.42,1.09,0.7,,0.7,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCU25,4050489,KENLOC MS MEDIUM SHARP INSERT,#,115187488,21161,2,1,1,290,10,0.5,0.69,1.95,,1.95,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,WP15CT,4171019,NEGATIVE INSERT GEO RH,#,115187529,21227,3,1,1,300,13,0.5,0.72,2.07,,2.07,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,2229651,KENLOC MS MEDIUM  SHARP INSERT,#,115195863,63508,2,1,1,370,4,0.5,0.86,2.83,,2.83,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,2244914,KENLOC MS MEDIUM SHARP INSERT,#,115187524,21044,1,1,1,352,5,0.5,0.82,0.83,,0.53,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCU10,5090856,KENLOC MS MEDIUM SHARP INSERT,#,115187523,21044,1,1,1,440,27,0.5,1.07,2.47,,1.53,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCU25,4050400,KENLOC MP MEDIUM POSITIVE INSERT,#,115195864,21044,2,1,1,280,50,0.5,0.76,1.25,,0.62,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP25CT,4171532,NEGATIVE INSERT GEO RH,#,115187498,63928,3,1,1,570,17,0.5,1.64,2.22,,2.22,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP25CT,4171532,NEGATIVE INSERT GEO RH,#,115187499,63928,3,1,1,570,14,0.5,1.64,2.48,,2.48,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC422M,3649188,MILL 1-10 INSERT R=0.8,#,115195931,21044,2,1,1,570,20,0.5,1.65,2.47,,2.08,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC422M,3649188,MILL 1-10 INSERT R=0.8,#,115195932,21044,2,1,1,570,8,0.5,1.62,0.4,,0.2,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC522M,3649190,MILL 1-10 INSERT R=0.8,#,115190887,21044,2,1,1,640,8,0.5,1.81,1.8,,1.23,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCPK30,3766024,MILL 1-10 INSERT R=2.0,#,115190888,63508,3,1,1,480,13,0.5,1.38,0.02,,0.02,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCPM20,3954572,MILL 1-10 INSERT R=0.8,#,115190957,21044,2,1,1,200,2,0.5,0.57,0.25,,0.12,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCPM20,3954572,MILL 1-10 INSERT R=0.8,#,115190957,63508,2,1,1,440,4,0.5,1.24,0.02,,0.02,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5980399,VSM11 MILLING INSERT R=2.0 MM,#,115186890,21044,1,1,1,320,10,0.5,0.92,1.93,,1.68,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP35CM,5980400,VSM11 MILLING INSERT R=2.0 MM,#,115186889,21044,1,1,2,320,11,0.5,0.93,1.28,,1.17,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP40PM,5980398,VSM11 MILLING INSERT R=2.0 MM,#,115186891,21044,1,1,1,640,13,0.5,1.83,1.73,,0.87,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCM15B,5641094,SCREW ON MF MEDIUM FINISHING INSERT,#,115190878,63877,3,1,1,570,17,0.5,1.17,0.57,,0.57,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCM25,3744919,SCREW ON MP MEDIUM POSITIVE INSERT,#,115195679,63877,3,1,1,"1,140",18,0.5,2.32,1.9,,1.9,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10B,5697960,SCREW ON LF LIGHT FINISHING INSERT,#,115190879,21269,2,1,1,"1,150",28,0.5,2.36,3.22,,3.22,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10B,5697960,SCREW ON LF LIGHT FINISHING INSERT,#,115190880,21269,2,1,1,530,6,0.5,1.07,0.02,,0.02,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10B,5697960,SCREW ON LF LIGHT FINISHING INSERT,#,115190880,63877,2,1,1,610,6,0.5,1.23,1.97,,1.97,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,WK20CT,4170239,POSITIVE INSERT GEO MP,#,115195860,21269,1,1,1,"1,160",20,0.5,2.36,1.87,,1.87,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCM15,3769111,SCREW ON FP LIGHT FINISHING INSERT,#,115195909,20648,1,1,1,343,4,0.5,0.69,0.93,,0.47,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10,3769012,SCREW ON FP LIGHT FINISHING INSERT,#,115195906,63508,3,1,1,"1,170",20,0.5,2.38,5.5,,5.5,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WM15CT,4168765,POSITIVE INSERT GEO FP,#,115195911,63508,3,1,1,"1,170",6,0.5,2.35,2.77,,2.77,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WM15CT,4168765,POSITIVE INSERT GEO FP,#,115195912,63928,3,1,1,"1,170",12,0.5,2.36,2.78,,2.78,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WM15CT,4168765,POSITIVE INSERT GEO FP,#,115195913,20648,1,1,1,"1,170",13,0.5,2.37,3.27,,1.63,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WP25CT,4170303,POSITIVE INSERT GEO FP,#,115030124,20648,2,1,1,692,6,0.5,1.4,2.52,,1.28,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WP25CT,4170303,POSITIVE INSERT GEO FP,#,115186766,20648,2,1,1,740,17,0.5,1.51,3.22,,2.15,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC730,1159618,KENLOC CHIP CONTROL INSERT,#,115190475,63877,3,1,1,50,8,0.5,0.13,2.43,,2.43,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KCP25,3751595,SCREW ON LF LIGHT FINISHING INSERT,#,115195983,20648,2,1,1,"1,140",17,0.42,2.2,3.27,,1.63,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KCP25,3751595,SCREW ON LF LIGHT FINISHING INSERT,#,115195984,63877,3,1,1,"1,140",11,0.42,2.19,0.87,,0.87,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KT315,1783144,KENLOC FW FINISHING WIPER INSERT,#,115187525,20648,1,1,1,815,7,0.5,1.89,2.87,,1.52,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KT315,1783144,KENLOC FW FINISHING WIPER INSERT,#,115187525,63877,1,1,1,325,9,0.5,0.77,0.13,,0.13,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KT315,1783144,KENLOC FW FINISHING WIPER INSERT,#,115187526,20648,1,1,1,"1,140",10,0.5,2.65,4.42,,3,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,K10U,4165704,POSITIVE INSERT,#,115187470,21269,1,1,1,"1,050",44,0.5,2.19,2.58,,2.58,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KC5010,1310885,SCREW ON LF LIGHT FINISHING INSERT,#,115195903,21269,2,1,1,,30,0.5,0.06,,,,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KC5010,1310885,SCREW ON LF LIGHT FINISHING INSERT,#,115195904,21269,2,1,1,316,3,0.5,0.64,0.32,,0.32,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KC5010,1310885,SCREW ON LF LIGHT FINISHING INSERT,#,115195904,63877,2,1,1,844,9,0.5,1.71,1.7,,1.7,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCK20,3755486,SCREW ON LF LIGHT FINISHING INSERT,#,115186761,21269,1,1,1,"1,050",10,0.42,2.01,2.92,,2.92,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCK20,3755486,SCREW ON LF LIGHT FINISHING INSERT,#,115187473,63877,3,1,1,"1,140",19,0.42,2.2,1.02,,1.02,,,,,,
OR01,02.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCM25B,5591151,SCREW ON LF LIGHT FINISHING INSERT,#,115187471,63877,3,1,1,"1,140",11,0.42,2.19,1.52,,1.52,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KC850,1162379,SCREW ON LF LIGHT FINISHING INSERT,#,115195916,21227,2,1,1,740,23,0.5,2.21,1.93,,1.93,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCU10,3769360,SCREW ON FP LIGHT FINISHING INSERT,#,115186768,21161,2,1,1,680,18,0.5,1.4,1.75,,1.75,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KTP10,3769065,SCREW ON FP LIGHT FINISHING INSERT,#,115186298,21161,1,1,1,924,41,0.5,1.93,0.6,,0.6,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KTP10,3769065,SCREW ON FP LIGHT FINISHING INSERT,#,115186769,21161,1,1,1,416,6,0.5,0.84,2,,2,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KC5010,2244892,KENLOC MS MEDIUM SHARP INSERT,#,115187486,21161,1,1,1,340,22,0.5,0.83,2.18,,2.18,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCU25,4050453,KENLOC RP ROUGHING POSITIVE INSERT,#,115187337,21161,2,1,1,150,80,0.5,0.53,0.02,,0.02,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCU25,4050484,KENLOC MS MEDIUM SHARP INSERT,#,115187485,21161,1,1,1,785,14,0.5,1.84,1.28,,1.28,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,2229648,KENLOC MS MEDIUM  SHARP INSERT,#,115195862,63928,3,1,1,860,19,0.5,2.02,3.48,,3.48,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WK20CT,4171405,NEGATIVE INSERT GEO ML,#,115199604,21044,2,1,1,200,11,0.5,0.49,0.62,,0.3,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WK20CT,4171405,NEGATIVE INSERT GEO ML,#,115199604,63928,2,1,1,80,1,0.5,0.19,1.65,,1.65,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WM25CT,4169444,NEGATIVE INSERT GEO UR,#,115195865,21044,1,1,1,190,3,0.5,0.44,1.27,,1.27,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WM25CT,4169444,NEGATIVE INSERT GEO UR,#,115195865,63928,1,1,1,90,13,0.5,0.24,2.65,,2.65,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP15CT,4171074,NEGATIVE INSERT GEO ML,#,115199605,21044,2,1,1,280,12,0.5,0.67,1.35,,0.8,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP25CT,4170490,NEGATIVE INSERT GEO ML,#,115199606,21044,2,1,1,280,20,0.5,0.69,1.8,,1.35,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP25CT,4170500,NEGATIVE INSERT GEO UR,#,115195866,21044,1,1,1,680,14,0.5,1.6,3.92,,3.02,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,K10P,4165813,POSITIVE INSERT,#,115195993,21044,2,1,1,280,12,0.5,0.67,1.82,,1.27,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,K20K,4165815,POSITIVE INSERT,#,115195994,21044,2,1,1,280,10,0.5,0.67,0.87,,0.42,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC725M,3682655,MILL 1-10 INSERT R=1.2,#,115195933,63508,3,1,1,800,15,0.5,2.28,7.22,,7.22,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC725M,3682655,MILL 1-10 INSERT R=1.2,#,115195934,63508,3,1,1,800,8,0.5,2.26,1.85,,1.85,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCM15,3769122,SCREW ON FP LIGHT FINISHING INSERT,#,115195995,21044,1,1,1,280,12,0.5,0.58,,,,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCU25,3769450,SCREW ON FP LIGHT FINISHING INSERT,#,115195996,21044,1,1,1,650,16,0.5,1.33,1.8,,0.9,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50591,TN20P,4166415,POSITIVE INSERT,#,115195992,21044,2,1,1,,,0.5,,0.5,,0.5,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCM35,3760407,SCREW ON MF MEDIUM FINISHING INSERT,#,115190877,21269,1,1,1,810,16,0.42,1.57,3.33,,3.33,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10,3749450,SCREW ON MF MEDIUM FINISHING INSERT,#,115190875,63877,3,1,1,"1,020",10,0.42,1.96,2.37,,2.37,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10,3749450,SCREW ON MF MEDIUM FINISHING INSERT,#,115190876,21269,1,1,1,150,1,0.42,0.29,1.17,,1.17,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10,3749450,SCREW ON MF MEDIUM FINISHING INSERT,#,115190876,63877,1,1,1,870,8,0.42,1.67,0.02,,0.02,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10B,5387905,SCREW ON LF LIGHT FINISHING INSERT,#,115196034,63877,2,1,1,220,3,0.5,0.38,1.97,,1.97,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP25B,5387571,SCREW ON LF LIGHT FINISHING INSERT,#,115195985,63877,3,1,1,340,4,0.5,0.59,0.93,,0.93,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50592,WP25CT,4170232,POSITIVE INSERT GEO MP,#,115190912,21269,1,1,1,600,15,0.5,1.23,1.12,,1.12,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10,3749285,KENLOC RP ROUGHING POSITIVE INSERT,#,115196019,20648,1,1,1,"1,140",18,0.5,2.2,4.88,,3.15,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5535026,KENLOC FF FINE FINISHING INSERT,#,115187476,63928,2,1,1,572,16,0.5,1.18,2.12,,2.12,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP25,3751688,KENLOC RP ROUGHING POSITIVE INSERT,#,115196020,63928,3,1,1,"1,140",21,0.5,2.21,0.1,,0.1,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,TN30M,4166867,NEGATIVE-LOCK PIN INSERT,#,115131137,63928,3,1,1,300,12,0.5,0.72,5.77,,5.77,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50593,WP15CT,4171007,NEGATIVE INSERT GEO RH,#,115187509,20648,2,1,1,"1,140",14,0.5,2.31,4.5,,2.43,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50696,K10P,4165813,POSITIVE INSERT,#,115195993,21044,1,1,1,,,,,0.03,,,,,99,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,50696,K10P,4165813,POSITIVE INSERT,#,115195993,21044,2,1,1,50,,0.5,0.12,0.02,,,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC5010,1871087,SCREW ON LF LIGHT FINISHING INSERT,#,115195980,20648,1,1,1,"1,160",18,0.5,2,4.75,,2.72,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC5010,1871087,SCREW ON LF LIGHT FINISHING INSERT,#,115195981,20648,2,1,1,"1,160",7,0.5,1.98,3.13,,1.57,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC5025,2425801,SCREW ON LF LIGHT FINISHING INSERT,#,115195982,20648,1,1,1,470,13,0.42,1.59,1.42,,1.22,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52411,KCK20B,5639767,SCREW ON LF LIGHT FINISHING INSERT,#,115195986,63877,3,1,1,300,29,0.5,0.66,2.07,,2.07,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCK15,3751989,SCREW ON LF LIGHT FINISHING INSERT,#,115187465,21269,2,1,1,900,35,0.42,1.78,0.07,,0.07,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCP05,3748403,SCREW ON LF LIGHT FINISHING INSERT,#,115187474,63877,3,1,1,340,14,0.42,0.67,0.25,,0.25,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCP10,3749382,SCREW ON LF LIGHT FINISHING INSERT,#,115187466,63877,2,1,1,900,23,0.42,1.75,1.53,,1.53,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCP10B,5387905,SCREW ON LF LIGHT FINISHING INSERT,#,115196034,21269,2,1,1,380,15,0.5,0.67,3.77,,3.77,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCP25B,5694098,SCREW ON LF LIGHT FINISHING INSERT,#,115186758,21269,1,1,1,360,5,0.5,0.73,,,,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCP25B,5694098,SCREW ON LF LIGHT FINISHING INSERT,#,115186758,63877,1,1,1,100,15,0.5,0.23,0.5,,0.5,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCP25B,5694098,SCREW ON LF LIGHT FINISHING INSERT,#,115187464,21269,1,1,1,"1,150",10,0.5,2.32,2.45,,2.45,,,,,,
OR01,03.01.2016,PRS3R,3R PRESS OSTERWALDER,52412,KT315,1869973,SCREW ON LF LIGHT FINISHING INSERT,#,115195905,63877,3,1,1,"1,170",16,0.42,3.91,0.7,,0.7,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KC730,1161842,SCREW ON MF MEDIUM FINISHING INSERT,#,115199256,21161,2,1,1,370,18,0.5,1.13,,,,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCM15,3755666,SCREW ON MF MEDIUM FINISHING INSERT,#,115199252,21161,1,1,1,340,12,0.42,0.67,2.3,,2.3,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCM25,3760320,SCREW ON MF MEDIUM FINISHING INSERT,#,115199251,63858,2,1,1,340,25,0.42,0.69,3.48,,3.48,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP10,3749443,SCREW ON MF MEDIUM FINISHING INSERT,#,115199254,21161,2,1,1,340,20,0.42,0.68,0.92,,0.92,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP25,3753390,SCREW ON MF MEDIUM FINISHING INSERT,#,115199253,21161,1,1,1,510,10,0.5,0.99,0.72,,0.72,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP25B,5694058,SCREW ON MF MEDIUM FINISHING INSERT,#,115199250,21161,1,1,1,182,6,0.5,0.38,1.82,,1.82,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP25B,5694058,SCREW ON MF MEDIUM FINISHING INSERT,#,115199250,21227,1,1,1,188,8,0.5,0.39,2.38,,2.38,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,KU30T,2460593,SCREW ON MF MEDIUM FINISHING INSERT,#,115199255,21227,3,1,1,700,17,0.5,2.08,0.05,,0.05,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KC5010,2244896,KENLOC MS MEDIUM SHARP INSERT,#,115195971,21161,2,1,1,"1,340",34,0.5,3.16,4.5,,4.5,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KC5010,2244905,KENLOC MS MEDIUM SHARP INSERT,#,115187512,21227,3,1,1,350,15,0.5,0.84,0.02,,0.02,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCU25,4121683,KENLOC MS MEDIUM SHARP INSERT,#,115195972,21161,1,1,1,675,15,0.5,1.59,1.13,,1.13,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCU25,4121701,KENLOC MS MEDIUM SHARP INSERT,#,115187511,21227,3,1,1,680,16,0.5,1.6,4.45,,4.45,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCM35,3760430,KENLOC MP MEDIUM POSITIVE INSERT,#,115183037,21044,1,1,1,330,13,0.5,0.69,0.02,,,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCM35B,5882884,KENLOC MP MEDIUM POSITIVE INSERT,#,115183039,21044,1,1,1,560,16,0.42,1.09,1.5,,0.95,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCP25B,5707893,KENLOC MP MEDIUM POSITIVE INSERT,#,115183038,21044,1,1,1,280,13,0.5,0.59,1.15,,0.57,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCU10,5593939,KENLOC MR MEDIUM ROUGHING INSERT,#,115179221,21044,2,1,1,280,16,0.5,0.68,1.33,,0.98,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WK20CT,4171929,NEGATIVE INSERT GEO RH,#,115199616,63928,3,1,1,288,14,0.5,0.69,1.72,,1.72,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP25CT,4170522,NEGATIVE INSERT GEO UR,#,115179224,21044,2,1,1,370,10,0.5,0.76,1.53,,1.4,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP25CT,4170522,NEGATIVE INSERT GEO UR,#,115179224,64891,2,1,1,190,3,0.5,0.39,0.52,,0.27,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP25CT,4171544,NEGATIVE INSERT GEO RH,#,115199618,63928,3,1,1,600,16,0.5,1.42,3.25,,3.25,,,,,,
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,47191,WP35CT,4171726,NEGATIVE INSERT GEO RH,#,115199617,63928,3,1,1,288,12,0.5,0.69,0.25,,0.25,,,,,,
